iter	Passed	Remaining
419	3375	642
420	3383	634
421	3390	626
422	3398	618
423	3405	610
424	3413	602
425	3421	594
426	3433	587
427	3441	578
428	3449	570
429	3457	562
430	3464	554
431	3472	546
432	3479	538
433	3487	530
434	3494	522
435	3503	514
436	3510	506
437	3518	498
438	3525	489
439	3533	481
440	3541	473
441	3549	465
442	3556	457
443	3564	449
444	3571	441
445	3580	433
446	3589	425
447	3597	417
448	3605	409
449	3613	401
450	3621	393
451	3630	385
452	3639	377
453	3648	369
454	3658	361
455	3667	353
456	3680	346
457	3690	338
458	3699	330
459	3709	322
460	3717	314
461	3726	306
462	3735	298
463	3744	290
464	3753	282
465	3762	274
466	3770	266
467	3779	258
468	3788	250
469	3796	242
470	3804	234
471	3812	226
472	3820	218
473	3829	210
474	3836	201
475	3844	193
476	3852	185
477	3859	177
478	3868	169
479	3876	161
480	3884	153
481	3892	145
482	3899	137
483	3906	129
484	3914	121
485	3921	112
486	3934	105
487	3941	96
488	3948	88
489	3956	80
490	3963	72
491	3970	64
492	3977	56
493	3985	48
494	3992	40
495	4000	32
496	4008	24
497	4016	16
498	4024	8
499	4033	0
