No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000040	20021224134542	2002.12.24	13:45:42.50	38.0900	39.2400	0010	3.1	3.1	0.0		0.0	0.0	Ke	KOMURCULER-CERMIK (DIYARBAKIR) [South West  1.4 km]
000041	20021224092232	2002.12.24	09:22:32.40	39.6000	29.4100	0004	2.6	2.6	0.0		0.0	0.0	Ke	KAYAARASI-TAVSANLI (KÜTAHYA) [West 3.7 km]
000042	20021224091920	2002.12.24	09:19:20.20	39.6600	29.4700	0001	2.6	2.6	0.0		0.0	0.0	Ke	MUHACIRLER-DOMANIC (KÜTAHYA) [South West  3.8 km]
000043	20021224064455	2002.12.24	06:44:55.70	37.5700	36.1500	0005	3.0	3.0	0.0		0.0	0.0	Ke	KOSEPINARI-KADIRLI (OSMANIYE) [South 2.9 km]
000044	20021223230149	2002.12.23	23:01:49.80	38.1700	38.7700	0007	3.7	3.7	0.0		0.0	0.0	Ke	GOKCELI-PUTURGE (MALATYA) [North West  4.8 km]
000045	20021223224447	2002.12.23	22:44:47.10	39.0800	28.0000	0005	3.0	3.0	0.0		0.0	0.0	Ke	BASLAMIS-AKHISAR (MANISA) [North East  2.6 km]
000046	20021223223353	2002.12.23	22:33:53.70	40.0200	35.7100	0004	2.8	2.8	0.0		0.0	0.0	Ke	OZUKAVAK-CEKEREK (YOZGAT) [South East  0.6 km]
000047	20021223214038	2002.12.23	21:40:38.50	37.1700	35.7400	0032	2.9	2.9	0.0		0.0	0.0	Ke	DUMLU-CEYHAN (ADANA) [North East  3.8 km]
000048	20021223212539	2002.12.23	21:25:39.40	37.0800	33.1300	0010	3.6	3.6	0.0		0.0	0.0	Ke	MORCALI- (KARAMAN) [North East  2.2 km]
000049	20021223204138	2002.12.23	20:41:38.60	38.5900	31.1800	0006	2.8	2.8	0.0		0.0	0.0	Ke	DERESINEK-CAY (AFYONKARAHISAR) [North East  4.1 km]
000050	20021223201046	2002.12.23	20:10:46.40	38.9000	31.9800	0010	2.8	2.8	0.0		0.0	0.0	Ke	IMAMOGLU-YUNAK (KONYA) [North East  1.2 km]
000051	20021223184505	2002.12.23	18:45:05.70	40.0700	42.2300	0010	3.1	3.1	0.0		0.0	0.0	Ke	CIFTLIK-HORASAN (ERZURUM) [South West  2.2 km]
000052	20021223150527	2002.12.23	15:05:27.30	38.6600	30.8100	0002	2.5	2.5	0.0		0.0	0.0	Ke	DEGIRMENDERE- (AFYONKARAHISAR) [North East  3.3 km]
000053	20021223145654	2002.12.23	14:56:54.30	40.9500	31.5800	0016	2.6	2.6	0.0		0.0	0.0	Ke	YOGUNPELIT-YIGILCA (DUZCE) [South West  3.1 km]
000054	20021223111724	2002.12.23	11:17:24.10	35.8500	35.4300	0010	3.2	3.2	0.0		0.0	0.0	Ke	AKDENIZ
000055	20021223105150	2002.12.23	10:51:50.00	40.4800	36.9500	0007	3.2	3.2	0.0		0.0	0.0	Ke	CAMIDERE-NIKSAR (TOKAT) [South West  0.5 km]
000056	20021223101535	2002.12.23	10:15:35.30	40.1800	28.7600	0013	2.7	2.7	0.0		0.0	0.0	Ke	BASKOY-NILUFER (BURSA) [South 3.6 km]
000057	20021223073333	2002.12.23	07:33:33.40	37.4800	30.2200	0008	3.2	3.2	0.0		0.0	0.0	Ke	YESILDAG- (BURDUR) [South West  3.5 km]
000058	20021223054519	2002.12.23	05:45:19.40	37.5300	30.0900	0010	3.1	3.1	0.0		0.0	0.0	Ke	BOGAZICI- (BURDUR) [North East  2.1 km]
000059	20021222202631	2002.12.22	20:26:31.30	38.9200	30.1300	0010	2.5	2.5	0.0		0.0	0.0	Ke	HAMUR-DUMLUPINAR (KÜTAHYA) [South East  0.6 km]
000060	20021222193412	2002.12.22	19:34:12.90	39.0400	29.9300	0006	2.5	2.5	0.0		0.0	0.0	Ke	ALINCIK-ALTINTAS (KÜTAHYA) [South East  4.4 km]
000061	20021222153428	2002.12.22	15:34:28.70	38.8700	30.0900	0010	2.5	2.5	0.0		0.0	0.0	Ke	ARPALI-DUMLUPINAR (KÜTAHYA) [West 1.6 km]
000062	20021222152351	2002.12.22	15:23:51.20	36.7800	28.8700	0010	3.1	3.1	0.0		0.0	0.0	Ke	KARACAAGAC-DALAMAN (MUGLA) [South West  1.7 km]
000063	20021222151128	2002.12.22	15:11:28.00	38.8900	30.1000	0010	2.5	2.5	0.0		0.0	0.0	Ke	SELKISARAY-DUMLUPINAR (KÜTAHYA) [North East  0.7 km]
000064	20021222144846	2002.12.22	14:48:46.80	37.9200	36.9900	0010	3.0	3.0	0.0		0.0	0.0	Ke	SARIGUZEL- (KAHRAMANMARAS) [South East  2.0 km]
000065	20021222124722	2002.12.22	12:47:22.20	40.6700	29.5100	0006	3.0	3.0	0.0		0.0	0.0	Ke	SOGUKSU-ALTINOVA (YALOVA) [South East  0.2 km]
000066	20021222101908	2002.12.22	10:19:08.80	39.2100	26.6800	0005	2.7	2.7	0.0		0.0	0.0	Ke	ALTINOVA AÇIKLARI-BALIKESIR (EGE DENIZI)
000067	20021222044531	2002.12.22	04:45:31.20	37.2800	36.2400	0005	3.1	3.1	0.0		0.0	0.0	Ke	KARATEPE-KADIRLI (OSMANIYE) [North West  1.7 km]
000068	20021222034700	2002.12.22	03:47:00.40	38.4000	38.9800	0007	3.4	3.4	0.0		0.0	0.0	Ke	TASLIYAYLA-SIVRICE (ELAZIG) [North East  2.1 km]
000069	20021221141606	2002.12.21	14:16:06.80	37.5300	30.1500	0013	2.9	2.9	0.0		0.0	0.0	Ke	IGDELI- (BURDUR) [North West  0.8 km]
000070	20021221112546	2002.12.21	11:25:46.00	41.2900	35.8400	0010	2.4	2.4	0.0		0.0	0.0	Ke	MESELITURKMENLER-BAFRA (SAMSUN) [North West  0.8 km]
000071	20021220222552	2002.12.20	22:25:52.80	39.7700	39.0200	0010	3.2	3.2	0.0		0.0	0.0	Ke	YARDERE-KEMAH (ERZINCAN) [South West  1.5 km]
000072	20021220185444	2002.12.20	18:54:44.80	38.8200	26.9400	0028	2.9	2.9	0.0		0.0	0.0	Ke	ALIAGA (IZMIR) [North West  3.5 km]
000073	20021220150739	2002.12.20	15:07:39.20	39.5500	28.9100	0004	3.3	3.3	0.0		0.0	0.0	Ke	DEREKOY-DURSUNBEY (BALIKESIR) [South East  1.1 km]
000074	20021220104820	2002.12.20	10:48:20.50	40.6900	35.2300	0005	3.1	3.1	0.0		0.0	0.0	Ke	KARAHISAR- (ÇORUM) [North West  1.1 km]
000075	20021220101010	2002.12.20	10:10:10.10	40.1700	27.8700	0009	2.5	2.5	0.0		0.0	0.0	Ke	GOLYAKA-BANDIRMA (BALIKESIR) [South 1.5 km]
000076	20021220091830	2002.12.20	09:18:30.70	40.4800	28.0100	0015	2.6	2.6	0.0		0.0	0.0	Ke	CAKILKOY-ERDEK (BALIKESIR) [North West  1.7 km]
000077	20021220091056	2002.12.20	09:10:56.90	38.6500	31.0800	0006	2.7	2.7	0.0		0.0	0.0	Ke	YESILYURT-CAY (AFYONKARAHISAR) [North East  6.0 km]
000078	20021220020014	2002.12.20	02:00:14.60	40.7400	35.2800	0005	3.2	3.2	0.0		0.0	0.0	Ke	KUCUKCAY-MERZIFON (AMASYA) [North East  0.8 km]
000079	20021219151328	2002.12.19	15:13:28.90	40.9300	31.4500	0006	3.1	3.1	0.0		0.0	0.0	Ke	HOCATMAN-YIGILCA (DUZCE) [South West  0.5 km]
000080	20021219050512	2002.12.19	05:05:12.50	41.1600	27.4800	0010	3.0	3.0	0.0		0.0	0.0	Ke	MURATLI (TEKIRDAG) [South West  2.0 km]
000081	20021218234738	2002.12.18	23:47:38.80	39.8800	39.0100	0010	3.2	3.2	0.0		0.0	0.0	Ke	YENIKOY-REFAHIYE (ERZINCAN) [South West  2.5 km]
000082	20021218224503	2002.12.18	22:45:03.40	38.1700	38.6800	0005	3.1	3.1	0.0		0.0	0.0	Ke	ESENLIK-PUTURGE (MALATYA) [North East  0.1 km]
000083	20021218221744	2002.12.18	22:17:44.40	37.5100	36.0500	0005	2.4	2.4	0.0		0.0	0.0	Ke	GAFARLI-SUMBAS (OSMANIYE) [North East  2.7 km]
000084	20021218120134	2002.12.18	12:01:34.20	38.4500	29.6800	0015	2.8	2.8	0.0		0.0	0.0	Ke	TATAR-SIVASLI (USAK) [South East  2.8 km]
000085	20021218091957	2002.12.18	09:19:57.10	36.6600	30.1100	0077	3.6	3.6	0.0		0.0	0.0	Ke	BUYUKSOGLE-ELMALI (ANTALYA) [South East  7.6 km]
000086	20021218083619	2002.12.18	08:36:19.50	38.5000	26.3500	0029	3.3	3.3	0.0		0.0	0.0	Ke	KUCUKBAHCE-KARABURUN (IZMIR) [South West  7.5 km]
000087	20021218035121	2002.12.18	03:51:21.00	38.8800	41.0400	0010	2.5	2.5	0.0		0.0	0.0	Ke	ELMASIRTI-SOLHAN (BINGOL) [North 2.9 km]
000088	20021218034814	2002.12.18	03:48:14.60	38.7000	30.6200	0005	2.8	2.8	0.0		0.0	0.0	Ke	NURIBEY- (AFYONKARAHISAR) [North 2.7 km]
000089	20021218004234	2002.12.18	00:42:34.10	38.9300	41.8200	0012	2.8	2.8	0.0		0.0	0.0	Ke	GUNDOGAN- (MUS) [North West  1.9 km]
000090	20021217233005	2002.12.17	23:30:05.00	40.7100	32.9700	0008	3.0	3.0	0.0		0.0	0.0	Ke	HACILAR-CERKES (ÇANKIRI) [North West  0.7 km]
000091	20021217232803	2002.12.17	23:28:03.40	40.7000	32.9800	0010	2.8	2.8	0.0		0.0	0.0	Ke	HACILAR-CERKES (ÇANKIRI) [South East  0.7 km]
000092	20021217202155	2002.12.17	20:21:55.00	40.8000	27.5400	0010	2.4	2.4	0.0		0.0	0.0	Ke	YENIKÖY AÇIKLARI-TEKIRDAG (MARMARA DENIZI)
000093	20021217150616	2002.12.17	15:06:16.60	37.1500	27.5900	0002	3.3	3.3	0.0		0.0	0.0	Ke	MESELIK-MILAS (MUGLA) [North West  0.5 km]
000094	20021217111747	2002.12.17	11:17:47.60	40.7000	29.5900	0010	2.4	2.4	0.0		0.0	0.0	Ke	KARAMURSEL (KOCAELI) [North West  2.4 km]
000095	20021217103029	2002.12.17	10:30:29.70	40.0600	28.7800	0010	3.0	3.0	0.0		0.0	0.0	Ke	CINARCIK-ORHANELI (BURSA) [North West  1.9 km]
000096	20021217045952	2002.12.17	04:59:52.20	37.8800	32.0900	0005	2.5	2.5	0.0		0.0	0.0	Ke	KIZILOREN-MERAM (KONYA) [North West  2.8 km]
000097	20021217001721	2002.12.17	00:17:21.30	38.6700	30.8300	0005	2.8	2.8	0.0		0.0	0.0	Ke	DEGIRMENDERE- (AFYONKARAHISAR) [North East  5.2 km]
000098	20021216130143	2002.12.16	13:01:43.50	37.6400	29.0300	0010	3.1	3.1	0.0		0.0	0.0	Ke	KIZILCABOLUK-TAVAS (DENIZLI) [North East  3.3 km]
000099	20021216122332	2002.12.16	12:23:32.00	38.6700	31.7000	0001	2.9	2.9	0.0		0.0	0.0	Ke	AYRITEPE-YUNAK (KONYA) [East 4.5 km]
000100	20021216114300	2002.12.16	11:43:00.40	40.5400	27.5800	0005	2.5	2.5	0.0		0.0	0.0	Ke	GUNDOGDU-MARMARA (BALIKESIR) [South West  4.7 km]
000101	20021216104944	2002.12.16	10:49:44.60	40.1400	28.7700	0019	2.6	2.6	0.0		0.0	0.0	Ke	MAKSEMPINARI-NILUFER (BURSA) [North 1.2 km]
000102	20021216050835	2002.12.16	05:08:35.10	40.4500	28.0600	0005	2.6	2.6	0.0		0.0	0.0	Ke	BANDIRMA KÖRFEZI (MARMARA DENIZI)
000103	20021215231427	2002.12.15	23:14:27.90	39.3500	40.5200	0004	3.1	3.1	0.0		0.0	0.0	Ke	SENKOY-YEDISU (BINGOL) [South 7.2 km]
000104	20021215223950	2002.12.15	22:39:50.60	38.3700	31.7600	0009	3.0	3.0	0.0		0.0	0.0	Ke	KOKLUCE-TUZLUKCU (KONYA) [South East  2.4 km]
000105	20021215200928	2002.12.15	20:09:28.10	39.5500	27.7800	0009	3.0	3.0	0.0		0.0	0.0	Ke	KARAKAVAK- (BALIKESIR) [North West  1.0 km]
000106	20021215191339	2002.12.15	19:13:39.60	39.4300	32.8500	0010	3.2	3.2	0.0		0.0	0.0	Ke	CIMSIT-GOLBASI (ANKARA) [West 4.1 km]
000107	20021215170339	2002.12.15	17:03:39.00	38.4700	31.9900	0010	2.3	2.3	0.0		0.0	0.0	Ke	TEKELER-ILGIN (KONYA) [North East  6.8 km]
000108	20021215150843	2002.12.15	15:08:43.40	39.0000	32.2300	0024	2.7	2.7	0.0		0.0	0.0	Ke	SEVINC-YUNAK (KONYA) [North East  2.5 km]
000109	20021215135955	2002.12.15	13:59:55.50	40.8100	33.1400	0020	2.8	2.8	0.0		0.0	0.0	Ke	CARDAKLI-ATKARACALAR (ÇANKIRI) [North East  1.1 km]
000110	20021214193255	2002.12.14	19:32:55.30	40.6200	33.0000	0006	2.9	2.9	0.0		0.0	0.0	Ke	DODURGA-ORTA (ÇANKIRI) [North East  2.1 km]
000111	20021214191610	2002.12.14	19:16:10.90	39.4500	32.8300	0010	3.0	3.0	0.0		0.0	0.0	Ke	CIMSIT-GOLBASI (ANKARA) [North West  6.2 km]
000112	20021214082523	2002.12.14	08:25:23.70	37.9000	32.0900	0001	3.1	3.1	0.0		0.0	0.0	Ke	KIZILOREN-MERAM (KONYA) [North West  4.5 km]
000113	20021214082415	2002.12.14	08:24:15.70	37.9000	32.0500	0005	3.1	3.1	0.0		0.0	0.0	Ke	DERBENTTEKKE-DERBENT (KONYA) [South East  6.6 km]
000114	20021214024715	2002.12.14	02:47:15.80	40.9000	31.1300	0007	2.7	2.7	0.0		0.0	0.0	Ke	AYNALI- (DUZCE) [South East  1.1 km]
000115	20021214010243	2002.12.14	01:02:43.40	37.4700	36.3100	0007	5.0	5.0	0.0		0.0	4.9	Ke	HACIVELIUSAGI-ANDIRIN (KAHRAMANMARAS) [South West  2.2 km]
000116	20021213202955	2002.12.13	20:29:55.90	40.6400	33.0700	0014	3.4	3.4	0.0		0.0	0.0	Ke	SALUR-ORTA (ÇANKIRI) [South East  0.9 km]
000117	20021213135347	2002.12.13	13:53:47.10	40.6400	32.8400	0005	2.9	2.9	0.0		0.0	0.0	Ke	ORTAKOY-KIZILCAHAMAM (ANKARA) [North West  6.2 km]
000118	20021213134349	2002.12.13	13:43:49.90	39.0700	33.8400	0006	3.3	3.3	0.0		0.0	0.0	Ke	UZUNALIUSAGI- (KIRSEHIR) [South 4.7 km]
000119	20021213104606	2002.12.13	10:46:06.20	39.0000	38.6600	0005	3.0	3.0	0.0		0.0	0.0	Ke	BADEMLI-AGIN (ELAZIG) [South West  1.1 km]
000120	20021213100301	2002.12.13	10:03:01.50	39.5800	29.3800	0017	2.7	2.7	0.0		0.0	0.0	Ke	KOPRUCEK-TAVSANLI (KÜTAHYA) [South East  1.9 km]
000121	20021213062114	2002.12.13	06:21:14.20	41.1500	35.3600	0005	2.8	2.8	0.0		0.0	0.0	Ke	OVACIK-VEZIRKOPRU (SAMSUN) [North East  1.5 km]
000122	20021213050837	2002.12.13	05:08:37.00	40.6000	36.9000	0010	3.6	3.6	0.0		0.0	0.0	Ke	SAHINLI-NIKSAR (TOKAT) [North East  1.3 km]
000123	20021212145945	2002.12.12	14:59:45.20	40.8500	27.5900	0005	3.0	3.0	0.0		0.0	0.0	Ke	YENIKÖY AÇIKLARI-TEKIRDAG (MARMARA DENIZI)
000124	20021212055952	2002.12.12	05:59:52.50	40.6800	32.9000	0013	2.9	2.9	0.0		0.0	0.0	Ke	ELDEN-ORTA (ÇANKIRI) [North West  5.3 km]
000125	20021211165816	2002.12.11	16:58:16.60	38.2800	27.0200	0014	3.0	3.0	0.0		0.0	0.0	Ke	EFEMCUKURU-MENDERES (IZMIR) [East 4.3 km]
000126	20021211155535	2002.12.11	15:55:35.70	38.2900	27.1300	0012	3.3	3.3	0.0		0.0	0.0	Ke	MENDERES (IZMIR) [North 4.3 km]
000127	20021211155217	2002.12.11	15:52:17.70	38.3200	27.0900	0017	3.8	3.8	0.0		0.0	0.0	Ke	TIRAZLI-KARABAGLAR (IZMIR) [East 2.6 km]
000128	20021211152647	2002.12.11	15:26:47.90	38.2300	26.9200	0007	3.1	3.1	0.0		0.0	0.0	Ke	BEYLER-SEFERIHISAR (IZMIR) [West 0.5 km]
000129	20021211135458	2002.12.11	13:54:58.90	38.1600	38.2300	0005	3.4	3.4	0.0		0.0	0.0	Ke	CAMPINAR-CELIKHAN (ADIYAMAN) [North 4.8 km]
000130	20021211125112	2002.12.11	12:51:12.50	40.2600	28.1400	0005	2.9	2.9	0.0		0.0	0.0	Ke	YENIYENICE-BANDIRMA (BALIKESIR) [South West  2.1 km]
000131	20021211102748	2002.12.11	10:27:48.80	37.1000	27.6100	0010	3.0	3.0	0.0		0.0	0.0	Ke	SAZKOY-BODRUM (MUGLA) [North West  0.6 km]
000132	20021211100730	2002.12.11	10:07:30.10	39.6200	29.4200	0020	3.1	3.1	0.0		0.0	0.0	Ke	KAYAARASI-TAVSANLI (KÜTAHYA) [North West  3.4 km]
000133	20021211093159	2002.12.11	09:31:59.40	39.6700	29.4200	0015	2.8	2.8	0.0		0.0	0.0	Ke	BOZBELEN-TAVSANLI (KÜTAHYA) [South East  2.0 km]
000134	20021211084217	2002.12.11	08:42:17.00	38.7700	43.9400	0008	3.1	3.1	0.0		0.0	0.0	Ke	HACIKISLAK-OZALP (VAN) [North East  0.5 km]
000135	20021211012531	2002.12.11	01:25:31.70	38.5700	31.2900	0005	2.5	2.5	0.0		0.0	0.0	Ke	TASKOPRU-SULTANDAGI (AFYONKARAHISAR) [South 1.0 km]
000136	20021210190739	2002.12.10	19:07:39.40	40.2500	32.5100	0010	2.9	2.9	0.0		0.0	0.0	Ke	GOLKOY-KIZILCAHAMAM (ANKARA) [South 0.6 km]
000137	20021210180057	2002.12.10	18:00:57.50	40.2300	32.4700	0005	3.1	3.1	0.0		0.0	0.0	Ke	FERUZ-AYAS (ANKARA) [North West  1.2 km]
000138	20021210081730	2002.12.10	08:17:30.30	35.7900	30.4000	0011	3.8	3.8	0.0		0.0	0.0	Ke	AKDENIZ
000139	20021210031423	2002.12.10	03:14:23.60	40.5800	32.9600	0008	3.0	3.0	0.0		0.0	0.0	Ke	KAYIOREN-ORTA (ÇANKIRI) [North East  0.6 km]
000140	20021209223754	2002.12.09	22:37:54.10	36.4800	28.7200	0009	2.9	2.9	0.0		0.0	0.0	Ke	AKDENIZ
000141	20021209152628	2002.12.09	15:26:28.30	39.0700	29.8000	0005	2.7	2.7	0.0		0.0	0.0	Ke	OREN-ASLANAPA (KÜTAHYA) [South East  1.4 km]
000142	20021209140915	2002.12.09	14:09:15.30	36.3400	28.7300	0007	3.2	3.2	0.0		0.0	0.0	Ke	AKDENIZ
000143	20021209133727	2002.12.09	13:37:27.70	36.9800	27.6400	0010	3.1	3.1	0.0		0.0	0.0	Ke	GÖKOVA KÖRFEZI (AKDENIZ)
000144	20021209133047	2002.12.09	13:30:47.30	37.0900	27.5600	0010	3.3	3.3	0.0		0.0	0.0	Ke	KUMKOY-BODRUM (MUGLA) [North West  2.1 km]
000145	20021209075102	2002.12.09	07:51:02.40	36.5900	44.4300	0010	4.8	4.8	0.0		0.0	4.8	Ke	IRAK
000146	20021209024959	2002.12.09	02:49:59.90	36.9800	27.6100	0010	3.0	3.0	0.0		0.0	0.0	Ke	GÖKOVA KÖRFEZI (AKDENIZ)
000147	20021209014520	2002.12.09	01:45:20.80	36.9200	34.5600	0013	3.5	3.5	0.0		0.0	0.0	Ke	DORUKLU-TOROSLAR (MERSIN) [North 0.6 km]
000148	20021209013722	2002.12.09	01:37:22.30	36.7700	27.6300	0002	3.2	3.2	0.0		0.0	0.0	Ke	KARAKOY-DATCA (MUGLA) [North 1.9 km]
000149	20021208234630	2002.12.08	23:46:30.40	40.7000	31.5600	0005	2.5	2.5	0.0		0.0	0.0	Ke	SULTANBEY- (BOLU) [North West  1.1 km]
000150	20021208224326	2002.12.08	22:43:26.20	39.6900	41.9300	0010	3.1	3.1	0.0		0.0	0.0	Ke	KARAKALE-KARAYAZI (ERZURUM) [North East  3.5 km]
000151	20021208223526	2002.12.08	22:35:26.10	37.0500	27.5900	0010	2.9	2.9	0.0		0.0	0.0	Ke	PINARLIBELEN-BODRUM (MUGLA) [South West  3.1 km]
