No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20021231195740	2002.12.31	19:57:40.90	38.0600	26.6800	0020	3.4	3.4	0.0		0.0	0.0	Ke	EGE DENIZI
000002	20021231035101	2002.12.31	03:51:01.00	36.5400	28.3500	0010	3.2	3.2	0.0		0.0	0.0	Ke	AKDENIZ
000003	20021231015632	2002.12.31	01:56:32.80	39.2900	26.0400	0007	3.2	3.2	0.0		0.0	0.0	Ke	MIDILLI ADASI (EGE DENIZI)
000004	20021230225554	2002.12.30	22:55:54.80	37.6100	27.4300	0010	3.0	3.0	0.0		0.0	0.0	Ke	OZBASI-SOKE (AYDIN) [South 2.2 km]
000005	20021230212328	2002.12.30	21:23:28.40	38.6500	40.6400	0025	3.1	3.1	0.0		0.0	0.0	Ke	BULGURLUK-GENC (BINGOL) [North East  3.5 km]
000006	20021230171318	2002.12.30	17:13:18.60	40.5500	29.1000	0005	2.6	2.6	0.0		0.0	0.0	Ke	HAYDARIYE-GEMLIK (BURSA) [North West  4.1 km]
000007	20021230102032	2002.12.30	10:20:32.90	37.7100	29.1000	0002	3.0	3.0	0.0		0.0	0.0	Ke	KARATAS- (DENIZLI) [North West  7.2 km]
000008	20021230085027	2002.12.30	08:50:27.30	40.6100	29.1200	0014	2.7	2.7	0.0		0.0	0.0	Ke	ORTABURUN-CINARCIK (YALOVA) [South West  2.7 km]
000009	20021229223623	2002.12.29	22:36:23.70	40.6200	29.0800	0004	2.8	2.8	0.0		0.0	0.0	Ke	TESVIKIYE-CINARCIK (YALOVA) [North 0.5 km]
000010	20021229220819	2002.12.29	22:08:19.30	38.8800	31.9200	0010	2.9	2.9	0.0		0.0	0.0	Ke	HACIFAKILI-YUNAK (KONYA) [West 2.4 km]
000011	20021229165339	2002.12.29	16:53:39.90	39.9000	41.8200	0010	3.0	3.0	0.0		0.0	0.0	Ke	DEREBASI-KOPRUKOY (ERZURUM) [West 2.5 km]
000012	20021229164427	2002.12.29	16:44:27.00	36.3100	27.0600	0005	3.5	3.5	0.0		0.0	0.0	Ke	AKDENIZ
000013	20021229150717	2002.12.29	15:07:17.50	37.9400	28.9700	0005	2.8	2.8	0.0		0.0	0.0	Ke	UYANIK-SARAYKOY (DENIZLI) [South West  1.9 km]
000014	20021229130925	2002.12.29	13:09:25.00	39.6300	39.4000	0010	3.1	3.1	0.0		0.0	0.0	Ke	KAZANKAYA-KEMAH (ERZINCAN) [South West  1.2 km]
000015	20021229075804	2002.12.29	07:58:04.50	35.4900	28.3600	0008	3.9	3.9	0.0		0.0	0.0	Ke	AKDENIZ
000016	20021229071606	2002.12.29	07:16:06.90	38.8800	31.1600	0005	2.6	2.6	0.0		0.0	0.0	Ke	CATALLI-EMIRDAG (AFYONKARAHISAR) [South East  7.0 km]
000017	20021228120928	2002.12.28	12:09:28.10	39.4700	30.3000	0007	2.6	2.6	0.0		0.0	0.0	Ke	BAYAT- (KÜTAHYA) [East 3.8 km]
000018	20021228032143	2002.12.28	03:21:43.00	39.4900	38.9300	0010	2.9	2.9	0.0		0.0	0.0	Ke	YUCEBELEN-KEMAH (ERZINCAN) [South East  1.9 km]
000019	20021228030758	2002.12.28	03:07:58.60	39.5200	37.9900	0003	2.9	2.9	0.0		0.0	0.0	Ke	ERIKLI-DIVRIGI (SIVAS) [North West  1.3 km]
000020	20021227214920	2002.12.27	21:49:20.60	39.5700	28.8900	0007	3.1	3.1	0.0		0.0	0.0	Ke	DOGANCILAR-DURSUNBEY (BALIKESIR) [South West  1.6 km]
000021	20021227214833	2002.12.27	21:48:33.80	39.5900	28.9100	0007	2.9	2.9	0.0		0.0	0.0	Ke	TEZLIK-DURSUNBEY (BALIKESIR) [South East  1.4 km]
000022	20021227144356	2002.12.27	14:43:56.70	40.2200	28.8100	0019	2.6	2.6	0.0		0.0	0.0	Ke	BASKOY-NILUFER (BURSA) [North East  4.8 km]
000023	20021227030256	2002.12.27	03:02:56.20	38.1700	28.8600	0005	2.7	2.7	0.0		0.0	0.0	Ke	BOGAZCIFTLIK-BULDAN (DENIZLI) [South East  3.5 km]
000024	20021226213333	2002.12.26	21:33:33.70	38.1600	28.8700	0011	3.1	3.1	0.0		0.0	0.0	Ke	TURLUBEY-BULDAN (DENIZLI) [North West  2.3 km]
000025	20021226210203	2002.12.26	21:02:03.70	35.8300	32.3300	0010	3.5	3.5	0.0		0.0	0.0	Ke	AKDENIZ
000026	20021226094938	2002.12.26	09:49:38.00	37.4700	34.7300	0010	3.3	3.3	0.0		0.0	0.0	Ke	ALIHOCA-ULUKISLA (NIGDE) [South East  2.8 km]
000027	20021226042755	2002.12.26	04:27:55.40	37.9700	29.0900	0012	2.8	2.8	0.0		0.0	0.0	Ke	KARAHAYIT- (DENIZLI) [North West  1.6 km]
000028	20021225225358	2002.12.25	22:53:58.60	38.1300	28.8600	0009	2.9	2.9	0.0		0.0	0.0	Ke	ALACAOGLU-BULDAN (DENIZLI) [North East  1.5 km]
000029	20021225223651	2002.12.25	22:36:51.60	38.5600	40.6000	0005	2.8	2.8	0.0		0.0	0.0	Ke	SAYDAMLI-LICE (DIYARBAKIR) [North West  3.4 km]
000030	20021225213752	2002.12.25	21:37:52.00	39.6000	38.0500	0012	3.1	3.1	0.0		0.0	0.0	Ke	ASAGICAMURCU-ZARA (SIVAS) [South East  2.8 km]
000031	20021225190554	2002.12.25	19:05:54.40	37.6400	36.0000	0005	2.8	2.8	0.0		0.0	0.0	Ke	BOZTAHTA-KOZAN (ADANA) [North 0.5 km]
000032	20021225114739	2002.12.25	11:47:39.90	39.6400	29.4400	0010	2.7	2.7	0.0		0.0	0.0	Ke	TUNCBILEK-TAVSANLI (KÜTAHYA) [North West  2.7 km]
000033	20021225103557	2002.12.25	10:35:57.20	39.1700	29.4400	0005	2.7	2.7	0.0		0.0	0.0	Ke	PUSATLAR-CAVDARHISAR (KÜTAHYA) [West 4.2 km]
000034	20021225052910	2002.12.25	05:29:10.40	38.6300	31.2300	0004	2.8	2.8	0.0		0.0	0.0	Ke	ORTAKARABAG-BOLVADIN (AFYONKARAHISAR) [South 6.9 km]
000035	20021224223343	2002.12.24	22:33:43.00	38.5900	30.8500	0005	2.8	2.8	0.0		0.0	0.0	Ke	GOZSUZLU- (AFYONKARAHISAR) [South East  3.4 km]
000036	20021224185437	2002.12.24	18:54:37.80	37.8500	29.7700	0013	3.7	3.7	0.0		0.0	0.0	Ke	SARIKAVAK-DAZKIRI (AFYONKARAHISAR) [South West  4.9 km]
000037	20021224160845	2002.12.24	16:08:45.90	39.7900	30.5300	0007	2.9	2.9	0.0		0.0	0.0	Ke	ODUNPAZARI (ESKISEHIR) [North East  2.7 km]
000038	20021224154121	2002.12.24	15:41:21.40	37.8500	29.2900	0013	2.7	2.7	0.0		0.0	0.0	Ke	GURLEYIK-HONAZ (DENIZLI) [North East  4.0 km]
000039	20021224142848	2002.12.24	14:28:48.30	40.6600	30.6300	0004	3.1	3.1	0.0		0.0	0.0	Ke	ALAAGAC-AKYAZI (SAKARYA) [North East  0.5 km]
